"adr_inter","adresse","adrzus_int","behindertenparkplatz","bemerkung","ccmail","da","datum","datum_cms","dep","editor","erforderlichedokumente","fax","hausnummer","hindernisfreiheit","infrastruktur","isbetriebsferien_gebaeude","isbetriebsferien_schalter","kategorie","mail","name","namenzus","objectid","oeffnungszeiten_gebaeude_di","oeffnungszeiten_gebaeude_do","oeffnungszeiten_gebaeude_fr","oeffnungszeiten_gebaeude_mi","oeffnungszeiten_gebaeude_mo","oeffnungszeiten_gebaeude_sa","oeffnungszeiten_gebaeude_so","oeffnungszeiten_schalter_di","oeffnungszeiten_schalter_do","oeffnungszeiten_schalter_fr","oeffnungszeiten_schalter_mi","oeffnungszeiten_schalter_mo","oeffnungszeiten_schalter_sa","oeffnungszeiten_schalter_so","ort","plz","poi_id","postadresse","publish_internet","strasse","suchen","tel","tel2","www","zahlungsmittel_internet","zahlungsmittel_schalter","zahlungsmittel_telefon","zvv_label","zvv_link","nummer","foto","eignung","geraete","bereich","infrastruk","besonderes","typ","elemente","gsz_id","geometry"
"","Buchenweg/Buchensteig","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Buchenweg","","2761.0000000000","","","","","","","","","","","","","","","","8008","sp057","","1","","Spiel- und Liegewiese, Brettschaukel, Kletteranlage mit Rutsche, Tischtennistisch, Sitzbänke","+41 44 422 54 97","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Buchenweg/Buchensteig&tolat=47.35743596&tolon=8.57016784","57","J","0 - 5 Jahre","Brettschaukel, Kletteranlage mit Rutsche, Tischtennistisch","","","kleine Grünanlage","Spielplatz","Spiel- und Liegewiese","0057","POINT (2685485 1245792.8)"
"","Lyrenweg","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Buchlern Sportanlage","","2762.0000000000","","","","","","","","","","","","","","","","8048","sp104b","","1","","Kiesplatz, Balkenwippe, Brettschaukel, Spielhaus, Federwippe, Drehteller, Sitzbänke, Brunnen,  Café","+41 44 431 57 61","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Lyrenweg&tolat=47.38089176&tolon=8.47692382","104b","J","0 - 5 Jahre","Balkenwippe, Brettschaukel, Spielhaus, Federwippe, Drehteller","","","übersichtliche Spielanlage neben Café bei Sportanlage","Spielplatz","Kiesplatz","0104B","POINT (2678406.5 1248303)"
"","Seestrasse 395","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","395","0__https://zuerst.proinfirmis.ch/pois/detail/25632","","","","Spielplatz","spielbus@spielbus-paz.ch","Mobile Spielanimation PAZMobile Spielanimation PAZ","","2763.0000000000","","","","","","","","","","","","","","","Zürich","8038","sp12764","","1","Seestrasse","","+41 44 481 50 33","","","","","","Seestrasse 395","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?tolat=47.3435493530404&tolon=8.53563814298258&toname=Zürich, Seestrasse 395","","N","","","","","","","","","POINT (2682898 1244212)"
"","Strickhofstrasse","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Alfred-Altherr-Terrasse","","2764.0000000000","","","","","","","","","","","","","","","","8057","sp036","","1","","Sandanlage, grosse Kiesrasenfläche, Brettschaukel, Kleinkinderschaukel, Wasserspiel, Sandbereich, Brettschaukel, Sitzbänke, Wasserbecken, Brunnen, Feuerstellen, Aussicht","+41 44 361 63 18","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Strickhofstrasse&tolat=47.39511906&tolon=8.55238259","36","J","0 - 5 Jahre","Brettschaukel, Kleinkinderschaukel, Wasserspiel, Sandbereich, Brettschaukel","","","Schöner Aussichtspunkt","Spielplatz","Sandanlage, grosse Kiesrasenfläche","0036","POINT (2684082 1249962.9)"
"","Eggweg","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Auf der Egg","","2765.0000000000","","","","","","","","","","","","","","","","8038","sp084","","1","","Spielhügel, Korbschaukel, Hangrutsche, Sandbereich, Sitzkarussell, Federwippe, Sitzbänke, Aussicht, ruhige Lage","+41 44 482 10 03","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Eggweg&tolat=47.34047634&tolon=8.53258330","84","J","0 - 5 Jahre","Korbschaukel, Hangrutsche, Sandbereich, Sitzkarussell, Federwippe","","","Aussicht, ruhige Lage","Spielplatz","Spielhügel","0084","POINT (2682672 1243867.1)"
"","Seestrasse 119","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Belvoirpark","","2766.0000000000","","","","","","","","","","","","","","","","8002","sp079","","1","","Hartplatz, Rotationsgerät, Sandbereich, Federwippe, Brettschaukel, Bockrutsche, Sitzbänke, historische Parkanlage","+41 44 201 75 00","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Seestrasse%20119&tolat=47.35817666&tolon=8.53285229","79","J","0 - 5 Jahre","Rotationsgerät, Sandbereich, Federwippe, Brettschaukel, Bockrutsche","","","historische Parkanlage","Spielplatz","Hartplatz","0079","POINT (2682664.8 1245835.1)"
"","Neugasse/Josef-/Ottostrasse","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Josefswiese","","2767.0000000000","","","","","","","","","","","","","","","","8005","sp099","","1","","Kiesfläche, Hängematte, Sandbereich, Wasserförderanlage, Brettschaukel, Balanciergerät, Korbschaukel, Balanciergerät, Hängematte, Kletteranlage mit Rutsche,  Pumpe, Tischtennistisch, ZüriWC, Beachvolleyball, Boccia, Plantschbecken,Baumbestand","+41 44 461 21 17","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Neugasse/Josef-/Ottostrasse&tolat=47.38592751&tolon=8.52257424","99","J","0 - 16 Jahre","Hängematte, Sandbereich, Wasserförderanlage, Brettschaukel, Balanciergerät, Korbschaukel, Balanciergerät, Hängematte, Kletteranlage mit Rutsche,  Pumpe, Tischtennistisch","","","grosszügige Parkanlage mit altem Baumbestand","Spielplatz","Spiel- und Liegewiese, grosse Kiesfläche","0099","POINT (2681845.8 1248909.5)"
"","Sihlfeld-/Zentral-/Gertrudstrasse","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Gertrudplatz","","2768.0000000000","","","","","","","","","","","","","","","","8003","sp066","","1","","Kiesplatz, Brettschaukel, Sandbereich, Kletteranlage mit Rutsche,  Federwippe,  Bockrutsche, Sitzbänke, Brunnen","+41 44 492 71 41","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Sihlfeld-/Zentral-/Gertrudstrasse&tolat=47.37404780&tolon=8.51683877","66","J","0 - 5 Jahre","Brettschaukel, Sandbereich, Kletteranlage mit Rutsche,  Federwippe,  Bockrutsche","","","Kleine Parkanlage","Spielplatz","Kiesplatz","0066","POINT (2681431 1247582.9)"
"","Birchstrasse","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","0_","_NULL","","","Spielplatz","","Oerlikerpark","","2790.0000000000","","","","","","","","","","","","","","","","8050","sp131","","1","","Kiesfläche, Liegerost aus Holz, Wasserspiel, Brettschaukel, Korbschaukel, Kletteranlage mit Rutsche, Federwippe, Hängematte, Balanciergerät, Lauschrohr, Sandkasten, Sitzbänke, Sonnenschirme Kletteranlage","+41 44 412 06 77","","","","","","Birchstrasse","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Birchstrasse&tolat=47.41488348&tolon=8.53726578","131","J","0 - 9 Jahre","Brettschaukel, Korbschaukel, Kletteranlage mit Rutsche, Federwippe, Hängematte, Balanciergerät, Lauschrohr, Sandkasten","","","Einzigartige Kletteranlage","Spielplatz","Kiesfläche, Liegerost aus Holz, Wasserspiel","0131","POINT (2682910 1252144)"
"","Bachwiesen Grünzug","Wydlerweg","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","0_","Spielplatz","","","Spielplatz","","Bachwiesen GrünzugBachwiesen Grünzug","sp0112","2791.0000000000","","","","","","","","","","","","","","","Zürich","","sp9106","","1","","","+41 44 431 57 61","","","","","","Bachwiesen Grünzug","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Zürich%2C%20Bachwiesen%20Grünzug&tolat=47.37635431&tolon=8.48627099","","N","","Spielbagger","","","","","","0112","POINT (2679119 1247808)"
"","Bernerstrasse 331 (Spielplatz)","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Sportanlage Juchhof","","2792.0000000000","","","","","","","","","","","","","","","","8048","sp168","","1","","Hartplatz, Rotationsgerät, Brettschaukel,  Federwippe, Denkspiel,  Sandkasten, Reck, Sitzbänke, Sportanlage","+41 44 344 14 00","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Bernerstrasse%20331%20(Spielplatz)&tolat=47.39876853&tolon=8.46700931","168","J","0 - 5 Jahre","Rotationsgerät, Brettschaukel,  Federwippe, Denkspiel,  Sandkasten, Reck","","","Die Anlage befindet sich am Rand der Sportanlage Juchhof. Der Spielplatz ist jederzeit zugänglich.","Spielplatz","Hartplatz","0168","POINT (2677631.8 1250280.6)"
"","Seefeldstrasse 109","","","GZ Riesbach (A)","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","0_","_NULL","","","Spielplatz","","GZ Riesbach (A)","","2793.0000000000","","","","","","","","","","","","","","","","8008","sp056","","1","","Kletternetzpyramide, Rotationsgerät, Hüpfteller, Bockrutsche, Kombischaukel, Sandbereich, Brettschaukel, Hangrutsche, Spielhaus,  Labyrinth, Pumpe, Grosser Wippboden, Sitzbänke, Stühle, Vitalgeräte, Gemeinschaftszentrum","+41 44 422 54 97","","","","","","Seefeldstrasse 109","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Seefeldstrasse%20109&tolat=47.35897431&tolon=8.55368095","56","J","0 - 99 Jahre","Kletternetzpyramide, Rotationsgerät, Hüpfteller, Bockrutsche, Kombischaukel, Sandbereich, Brettschaukel, Hangrutsche, Spielhaus,  Labyrinth, Pumpe, Grosser Wippboden","","","Gemeinschaftszentrum, Vorplatz als Generationenplatz","GZ mit Spielplatz","Grosser Quartierspielplatz","0056","POINT (2684237 1245946)"
"","Erlach-/Aegertenstrasse","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","0_","_NULL","","","Spielplatz","","Aegerten","","2794.0000000000","","","","","","","","","","","","","","","","8003","sp071","","1","","Spielwiese, Spielfläche, Gurtensteg, Kombischaukel, Seilanlage mit Rutsche, Balanciergerät, Balanciergerät, Bockrutsche, Pumpe, Kombischaukel, Federwippe, Drehkletterturm, Sitzbänke, Züri-WC, Baumbestand","+41 44 461 21 17","","","","","","Erlach-/Aegertenstrasse","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Erlach-/Aegertenstrasse&tolat=47.36843523&tolon=8.52271123","71","J","0 - 16 Jahre","Gurtensteg, Kombischaukel, Seilanlage mit Rutsche, Balanciergerät, Balanciergerät, Bockrutsche, Pumpe, Kombischaukel, Federwippe, Drehkletterturm","","","schöner Baumbestand","Spielplatz","Spielwiese, Spielfläche","0071","POINT (2681883 1246965)"
"","Cäsar Ritz Strasse","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Looächeranlage","","2795.0000000000","","","","","","","","","","","","","","","","8046","sp176","","1","","Spiel- und Liegefläche, Kiesfläche, Hartplatz, Hängematte, Brettschaukel, Seilanlage, Tischtennistisch, Sitzbänke, Hartplatz","+41 44 371 05 13","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Cäsar%20Ritz%20Strasse&tolat=47.42408607&tolon=8.49797257","176","J","0 - 16 Jahre","Hängematte, Brettschaukel, Seilanlage, Tischtennistisch","","","Quartierspielplatz mit Hartplatz","Spielplatz","Spiel- und Liegefläche, Kiesfläche, Hartplatz","0176","POINT (2679931 1253126.4)"
"","Möhrli-/Schanzackerstrasse","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Möhrlianlage","","2796.0000000000","","","","","","","","","","","","","","","","8006","sp037","","1","","Sandanlage, Kiesrasenfläche, Sandbereich, Federwippe, Brettschaukel, Tischtennistisch, Sitzbänke, Feuerstellen","+41 44 361 63 18","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Möhrli-/Schanzackerstrasse&tolat=47.39000756&tolon=8.54700398","37","J","0 - 5 Jahre","Sandbereich, Federwippe, Brettschaukel, Tischtennistisch","","","Kleine Parkanlage","Spielplatz","Sandanlage, Kiesrasenfläche","0037","POINT (2683684 1249388.9)"
"","Gabler-/Grütlistrasse","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Rieterpark - Gablerstrasse","","2818.0000000000","","","","","","","","","","","","","","","","8002","sp078a","","1","","Spiel- und Liegewiese, Sandbereich, Spielhaus, Brettschaukel, Korbschaukel, Kletteranlage mit Rutsche, Balanciergerät, Sitzbänke, grosszügige, historische Parkanlage, Museum Rietberg","+41 44 201 75 00","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Gabler-/Grütlistrasse&tolat=47.35928809&tolon=8.53153833","78a","J","0 - 5 Jahre","Sandbereich, Spielhaus, Brettschaukel, Korbschaukel, Kletteranlage mit Rutsche, Balanciergerät","","","grosszügige, historische Parkanlage, Museum Rietberg","Spielplatz","Spiel- und Liegewiese","0078A","POINT (2682563.8 1245957.4)"
"","Bachtoblerpark","Bachtobelstrasse 19","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","0_","Spielplatz","","","Spielplatz","","BachtoblerparkBachtoblerpark","","2819.0000000000","","","","","","","","","","","","","","","Zürich","","sp9571","","1","","","+41 44 412 46 13","","","","","","Bachtoblerpark","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Zürich%2C%20Bachtoblerpark&tolat=47.36111324&tolon=8.51693610","","N","","","","","","","","0152","POINT (2681458 1246145)"
"","Einfang-/Wehntalerstrasse 447","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","0__","_NULL","","","Spielplatz","","Im Einfang","","2820.0000000000","","","","","","","","","","","","","","","","8046","sp122","","1","","Spiel- und Liegewiese, Kletteranlage mit Rutsche, Sandbereich, Brettschaukel, Matschtisch, Sitzbänke, Brunnen","+41 44 371 05 13","","","","","","Einfang-/Wehntalerstrasse 447","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Zürich, Einfangstrasse 10a","122","J","0 - 5 Jahre","Kletteranlage mit Rutsche, Sandbereich, Brettschaukel, Matschtisch","","","Kleine Parkanlage","Spielplatz","Spiel- und Liegewiese","0122","POINT (2681079 1252248.6)"
"","Glattalstrasse","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","0_","_NULL","","","Spielplatz","","Seebach (Freibad)","","2821.0000000000","","","","","","","","","","","","","","","","8052","sp181","","1","","Spiel- und Liegewiese, Brettschaukel, Rotationsgerät, Wasserförderanlage, Wasserspiel, Sitzbänke, Spielanlage","+41 44 412 06 77","","","","","","Glattalstrasse","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Glattalstrasse&tolat=47.42444436&tolon=8.54772167","181","J","0 - 9 Jahre","Brettschaukel, Rotationsgerät, Wasserförderanlage, Wasserspiel","","","Spielanlage in Badeanlage. Öffnungszeiten berücksichtigen!","Spielplatz in Badeanlage","Spiel- und Liegewiese","0181","POINT (2683684 1253218)"
"","Nord-/Lehenstrasse","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Lehenanlage","","2822.0000000000","","","","","","","","","","","","","","","","8037","sp027","","1","","grosse Kiesfläche, Brettschaukel, Kletteranlage mit Rutsche, Hangrutsche, Tischtennistisch, Sitzbänke","+41 44 361 63 18","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Nord-/Lehenstrasse&tolat=47.39619721&tolon=8.52210577","27","J","0 - 9 Jahre","Brettschaukel, Kletteranlage mit Rutsche, Hangrutsche, Tischtennistisch","","","Kleine Parkanlage","Spielplatz","grosse Kiesfläche","0027","POINT (2681794.8 1250050.8)"
"","Sunnige Hof 34a","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","34a","0_","Spielplatz","","","Spielplatz","","Suunige Hof / WeibelackerstrasseSuunige Hof / Weibelackerstrasse","","2823.0000000000","","","","","","","","","","","","","","","Zürich","","sp9575","","1","Sunnige Hof","","+41 44 412 46 13","","","","","","Sunnige Hof 34a","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Zürich%2C%20Sunnige%20Hof%2034a&tolat=47.39914902&tolon=8.58744261","","N","","","","","","","","0170","POINT (2686722 1250449)"
"","Helen-Keller-Strasse 55","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","55","0__https://zuerst.proinfirmis.ch/pois/detail/25048","_NULL","","","Spielplatz","","Mobile Spielanimation Schwamendingen","","2824.0000000000","","","","","","","","","","","","","","","Zürich","8051","sp12765","","1","Helen-Keller-Strasse","","+41 44 325 60 26","","","","","","Helen-Keller-Strasse 55","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?tolat=47.402477171138&tolon=8.59196595618581&toname=Zürich, Helen-Keller-Strasse 55","","N","","","","","","","","","POINT (2687058 1250824)"
"","Lommisweg","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Lommisweg A","","2825.0000000000","","","","","","","","","","","","","","","","8048","sp096a","","1","","Spiel- und Liegewiese, Kletteranlage mit Rutsche, Kombischaukel, Rotationsgerät, Federwippe, Pumpen, Balkenwippe, Balanciergerät, Sandbereich, Sitzbänke","+41 44 431 57 61","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Lommisweg&tolat=47.39099809&tolon=8.48688912","96a","J","0 - 5 Jahre","Kletteranlage mit Rutsche, Kombischaukel, Rotationsgerät, Federwippe, Pumpen, Balkenwippe, Balanciergerät, Sandbereich","","","Umbau 2016","Spielplatz","Spiel- und Liegewiese","0096A","POINT (2679144 1249436.6)"
"","Feldstrasse 37","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Pflanzschulwiese","","2847.0000000000","","","","","","","","","","","","","","","","8004","sp111","","1","","Spiel- und Liegewiese, Bockrutsche, Sitzkarussell, Spielhaus, Brettschaukel, Sandbereich, Sitzbänke, Brunnen, Spielwiese","+41 44 461 21 17","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Feldstrasse%2037&tolat=47.37605318&tolon=8.52075673","111","J","0 - 5 Jahre","Bockrutsche, Sitzkarussell, Spielhaus, Brettschaukel, Sandbereich","","","kleine Spielanlage neben grosser Spielwiese","Spielplatz","Spiel- und Liegewiese","0111","POINT (2681723.8 1247809.9)"
"","Luegislandstrasse","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Auhof (Freibad)","","2848.0000000000","","","","","","","","","","","","","","","","8051","sp185","","1","","Spiel- und Liegewiese, Kletteranlage mit Rutsche, Brettschaukel, Sitzbänke, Badeanlage","+41 44 322 02 20","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Luegislandstrasse&tolat=47.40770916&tolon=8.57029502","185","J","0 - 9 Jahre","Kletteranlage mit Rutsche, Brettschaukel","","","Spielanlage in Badeanlage. Öffnungszeiten berücksichtigen!","Spielplatz in Badeanlage","Spiel- und Liegewiese","0185","POINT (2685414 1251381.9)"
"","Freudenbergstrasse 41","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Schlössliareal","","2849.0000000000","","","","","","","","","","","","","","","","8044","sp042","","1","","Spiel- und Liegewiese, Planschbecken, Brettschaukel, Planschbecken, Hangrutsche, Sandbereich, Federwippe, Sitzbänke","+41 44 361 63 18","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Freudenbergstrasse%2041&tolat=47.38194691&tolon=8.55829211","42","J","0 - 5 Jahre","Brettschaukel, Planschbecken, Hangrutsche, Sandbereich, Federwippe","","","Quartierspielplatz","Spielplatz","Spiel- und Liegewiese, Planschbecken","0042","POINT (2684549 1248504.9)"
"","Regina Kägi-Strasse","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","0_","_NULL","","","Spielplatz","","Louis Häfliger Park","","2850.0000000000","","","","","","","","","","","","","","","","8050","sp143","","1","","Spiel- und Liegewiese, Hartplatz, Allwetterplatz, Spielhügel, Brettschaukel, Sprossengerät, Bockrutsche, Reck, Sitzbänke, Liegeflächen, moderne Parkanlage","+41 44 412 06 77","","","","","","Regina Kägi-Strasse","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Regina%20Kägi-Strasse&tolat=47.41250759&tolon=8.53359922","143","J","0 - 16 Jahre","Brettschaukel, Sprossengerät, Bockrutsche, Reck","","","moderne Parkanlage","Spielplatz","Spiel- und Liegewiese, Hartplatz, Allwetterplatz, Spielhügel","0143","POINT (2682637 1251876)"
"","Bachwiesenstrasse/Mathysweg","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","GZ Bachwiesen","","2851.0000000000","","","","","","","","","","","","","","","","8047","sp103","","1","","Bachspielbereich, Tiergehege, Volière, Summstein, Brunnen, Pergola, Hamsterrad, Riesenschaukel, Kletteranlage, Brettschaukel, Sandbereich, Federwippe,  Balkenwippe, Spielhaus, Tischtennistisch, alte Dampfwalze, Gemeinschaftszentrum","+41 44 431 57 61","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Bachwiesenstrasse/Mathysweg&tolat=47.38035361&tolon=8.48650923","103","J","0 - 16 Jahre","Hamsterrad, Riesenschaukel, Kletteranlage mit Rutsche, Brettschaukel, Sandbereich, Federwippe,  Balkenwippe, Bockrutsche,  Pumpe, Spielhaus, Tischtennistisch","","","Gemeinschaftszentrum, grosszügige, abwechslungsreiche Anlage mit Tieren","GZ mit Spielplatz","Bachspielbereich, Spiel- und Liegewiese, Tiergehege, Volière, Summstein, Brunnen, Pergola","0103","POINT (2679131 1248252.9)"
"","Hohenklingen-Allee","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Hohenklingen Allee","","2852.0000000000","","","","","","","","","","","","","","","","8049","sp091","","1","","terrassierte Spielfläche, Spielhaus, Rutsche, Federwippe,  Sandbereich, Brettschaukel, Sitzbänke, Aussicht","+41 44 344 14 00","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Hohenklingen-Allee&tolat=47.40228515&tolon=8.48931634","91","J","0 - 5 Jahre","Spielhaus, Rutsche, Federwippe,  Sandbereich, Brettschaukel","","","schöne Aussicht","Spielplatz","terrassierte Spielfläche","0091","POINT (2679310.5 1250693.9)"
"","Sihlpromenade","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Sihlpromenade","","2853.0000000000","","","","","","","","","","","","","","","","8003","sp130","","1","","Spiel- und Liegewiese, Weidengang, Spielhügel, Brettschaukel, Kletteranlage mit Rutsche, Kletteranlage mit Rutsche, Sandbereich,  Reck, Sitzbänke, Spielkisten, Kletteranlage","+41 44 201 75 00","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Sihlpromenade&tolat=47.36742368&tolon=8.52686716","130","J","0 - 9 Jahre","Brettschaukel, Kletteranlage mit Rutsche, Kletteranlage mit Rutsche, Sandbereich,  Reck","","","Einzigartige Kletteranlage in Form und Farbgebung auf SZU-Züge abgestimmt","Spielplatz","Spiel- und Liegewiese, Weidengang, Spielhügel","0130","POINT (2682198.5 1246856.9)"
"","GZ Riesbach (B)","","","Riesbach Quartierpark (B","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","1_","Besuchenden-WC_Behinderten-WC_Spielplatz","","","Spielplatz","","GZ Riesbach (B)GZ Riesbach (B)","","2854.0000000000","","","","","","","","","","","","","","","Zürich","8008","sp9570","","1","","","+41 44 422 54 97","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Zürich%2C%20GZ%20Riesbach%20(B)&tolat=47.35915691&tolon=8.55433343","","N","","","","","","","","0150","POINT (2684286 1245967)"
"","Hardeggweg/-strasse","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Hardeggstrasse","","2875.0000000000","","","","","","","","","","","","","","","","8049","sp094","","1","","Spiel- und Liegewiese, Kiesfläche, Sandbereich, Sandspielgeräte, Brettschaukel, Kletteranlage mit Rutsche, Bockrutsche, Federwippe, Tischtennistisch, Sitzbänke, Volière","+41 44 344 14 00","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Hardeggweg/-strasse&tolat=47.39663994&tolon=8.50252532","94","J","0 - 5 Jahre","Sandbereich, Sandspielgeräte, Brettschaukel, Kletteranlage mit Rutsche, Bockrutsche, Federwippe, Tischtennistisch","","","liegt am rechten Limmatuferweg, Volière in der Anlage","Spielplatz","Spiel- und Liegewiese, Kiesfläche","0094","POINT (2680316 1250079.8)"
"","Bleulerstrasse","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Sportanlage Lengg","","2876.0000000000","","","","","","","","","","","","","","","","8008","sp142","","1","","Spiel- und Liegewiese, Federwippe, Kletteranlage mit Rutsche, Tischtennistisch, Sitzbänke, Tennisanlage, Öffnungszeiten","+41 44 422 54 97","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Bleulerstrasse&tolat=47.35027475&tolon=8.57175485","142","J","4 - 9 Jahre","Federwippe, Kletteranlage mit Rutsche, Tischtennistisch","","","liegt innerhalb der Tennisanlage, Öffnungszeiten beachten!","Spielplatz","Spiel- und Liegewiese","0142","POINT (2685616.2 1244998.4)"
